#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Disponible de Remanentes por aplicación
,,2000,32609,2279913,"Convenis (UNED, Torribera)",288000,0,288000,124682.44,0
,,2000,43200,2269900,Altres despeses,58000,-58000,0,0,0
,,2000,43300,4790000,ALTRES SUBVENCIONS A EMPRESES PRIVADES.,0,298714.9,298714.9,0,0
,,2000,92901,5000000,Fons contingència LOEPSF 2/2012,500000,0,500000,0,0
,,2000,93100,2200100,"Premsa, revistes i llibres",2000,0,2000,742.76,0
,,2000,93100,2260300,Anuncis oficials,500,0,500,428.4,0
,,2000,93100,2269900,Altres despeses,20000,-12000,8000,196.76,0
,,2000,93100,2270600,Estudis i treballs tècnics,2000,0,2000,7066.4,0
,,2000,93100,4890100,Altres transferències,0,27000,27000,8462.25,0
,,2000,93101,1100000,Retribucions Bàsiques Eventual Gabinets,16733.4,0,16733.4,9567.26,0
,,2000,93101,1100100,Retribucions Complementàries Eventual Ga,50558.2,0,50558.2,28967.9,0
,,2000,93101,1600000,Seguretat Social,13941.48,0,13941.48,7179.78,0
,,2000,94301,4640100,Transferències a AMB PAMMU,1329116.32,0,1329116.32,1329116.32,0
,,2000,94301,4640200,Transferències a AMB  PMTE,2954000,0,2954000,1735135.13,0
,,2010,93101,1200000,Retribució sou base funcionari A1,17483.68,0,17483.68,0,0
,,2010,93101,1200300,Retribució sou base funcionari C1,25095.76,0,25095.76,14185.88,0
,,2010,93101,1200600,Triennis,6008.28,0,6008.28,2841.21,0
,,2010,93101,1210000,Complement Destí  funcionaris,15749.04,0,15749.04,5537.18,0
,,2010,93101,1210100,Complement específic funcionaris,25626.72,0,25626.72,9737.25,0
,,2010,93101,1300000,Retribucions bàsiques personal laboral,25208.36,0,25208.36,14365.86,0
,,2010,93101,1600000,Seguretat Social,30667.93,0,30667.93,11027.46,0
,,2010,93101,1620900,Altres despeses socials,0,0,0,0,0
,,2100,43200,1300000,Retribucions bàsiques personal laboral,26213.2,0,26213.2,14851.26,0
,,2100,43200,1300200,Altres retribucions personal laboral,13544.04,0,13544.04,7911.98,0
,,2100,43200,1600000,Seguretat social,12720.84,0,12720.84,6360.42,0
,,2100,43200,2269900,Altres despeses diverses,0,58000,58000,30011.58,0
,,2200,43000,1200000,Retribucions sou base A1,18865.58,0,18865.58,10823.19,0
,,2200,43000,1200100,Retribucions sou base A2,15428.3,0,15428.3,8375.29,0
,,2200,43000,1200300,Retribucions sou base C1,12678.68,0,12678.68,8557.4,0
,,2200,43000,1200600,Trienis,8832.72,0,8832.72,4838.35,0
,,2200,43000,1210000,Complement destí funcionaris,15104.28,0,15104.28,8492.25,0
,,2200,43000,1210100,Complement específic funcionaris,32974.08,0,32974.08,20834.83,0
,,2200,43000,1300000,Retribucions bàsiques personal laboral,33641.46,0,33641.46,36538.29,0
,,2200,43000,1300200,Altres retribucions personal laboral,13651.08,0,13651.08,1805.78,0
,,2200,43000,1600000,Seguretat social,40532.28,0,40532.28,16866.67,0
,,2200,43130,2270100,Seguretat,0,0,0,37024.75,0
,,2200,43200,2269900,Altres despeses,95000,0,95000,5087.44,0
,,2200,43300,2260300,Anuncis oficials,1000,0,1000,870,0
,,2200,43300,2269900,Altres despeses,85000,70158.7,155158.7,45567.79,585.82
,,2200,43300,4890100,Altres tranferències,100000,32593.58,132593.58,20753.13,35550
,,2300,93202,1200000,Retribució sou base funcionari A1,45941.5,0,45941.5,15211.1,0
,,2300,93202,1200100,Retribució sou base funcionari A2,16298.68,0,16298.68,9127.6,0
,,2300,93202,1200300,Retribució sou base funcionari C1,122449.46,0,122449.46,74404.41,0
,,2300,93202,1200400,Retribució sou base funcionari C2,33343.72,0,33343.72,12233.14,0
,,2300,93202,1200600,Triennis,26547.72,0,26547.72,13901.43,0
,,2300,93202,1210000,Complement Destí  funcionaris,67795.44,0,67795.44,38850.25,0
,,2300,93202,1210100,Complement específic funcionaris,148326.24,0,148326.24,83491.43,0
,,2300,93202,1210300,Altres complements funcionaris,5998.68,0,5998.68,2641.02,0
,,2300,93202,1300000,Retribucions bàsiques personal laboral,2595.06,0,2595.06,12038.5,0
,,2300,93202,1300200,Altres retribucions personal laboral,10323.12,0,10323.12,5944.39,0
,,2300,93202,1510000,Gratificacions treballs extraordinaris,0,0,0,762.06,0
,,2300,93202,1600000,Seguretat Social,121846.58,0,121846.58,60617.34,0
,,2300,93202,1620900,Altres despeses socials,0,0,0,554,0
,,2300,93202,2260300,Anuncis oficials,1000,0,1000,657.7,0
,,2300,93202,2269900,Altres despeses (Registre de la Propietat),4000,-1000,3000,1453.6,0
,,2400,23108,1200000,Retribució sou base funcionari A1,17322.2,0,17322.2,6770.5,0
,,2400,23108,1200100,Retribució sou base funcionari A2,424390.47,100000,524390.47,232281.23,0
,,2400,23108,1200600,Triennis,22977.12,0,22977.12,13443.87,0
,,2400,23108,1210000,Complement Destí  funcionaris,137763.48,0,137763.48,72250.97,0
,,2400,23108,1210100,Complement específic funcionaris,255117.36,0,255117.36,133966.05,0
,,2400,23108,1600000,Seguretat Social,269369.64,0,269369.64,124636.27,0
,,2400,91201,2330001,Altres indemnitzacions per assistència a orgàns col·legiats,27000,0,27000,11067.77,0
,,2400,92013,1500000,Complement productivitat,915000,0,915000,1300369.79,0
,,2400,92013,1510000,Treballs extraordinaris,330000,-100000,230000,0,0
,,2400,92013,1600000,Seguretat social Serveis extraordinaris,344081.72,0,344081.72,265588.13,0
,,2400,92013,1620000,Formació,60000,0,60000,23527.27,0
,,2400,92013,1620400,Ajuts socials,46000,0,46000,0,0
,,2400,92013,1620900,Premis Antiguitat,24000,0,24000,0,0
,,2400,92013,2260300,Anuncis oficials,4000,0,4000,6283.96,0
,,2400,92013,2269900,Altres despeses,2000,-900,1100,253.92,0
,,2400,92013,2270600,Estudis i treballs tècnics,2000,0,2000,0,0
,,2400,92013,2301000,Dietes serveis generals,12000,0,12000,7402.86,0
,,2400,92013,2301001,Dietes jornada partida,30000,0,30000,0,0
,,2400,92013,2302000,Xecs menjador,40000,0,40000,0,0
,,2400,92013,2302001,Dietes jornada partida,0,0,0,12467.61,0
,,2400,92013,2311000,Locomoció serveis generals,9000,-1000,8000,4724.86,0
,,2400,92013,2330000,Altres indemnitzacions,3000,0,3000,374.25,0
,,2400,92013,4890100,Altres transferències,3500,900,4400,3168.54,0
,,2400,92013,8310000,Préstecs al personal llarg termini,180000,0,180000,75247.55,0
,,2400,93100,4890100,Altres transferències,27000,-27000,0,0,0
,,2401,13200,1200300,Retribucions sou base funcionaris C1,25255.04,0,25255.04,0,0
,,2401,13200,1200600,Trienis,2373.6,0,2373.6,0,0
,,2401,13200,1210000,Complement destí funcionaris,7665.48,0,7665.48,0,0
,,2401,13200,1210100,Complement específic funcionaris,21788.52,0,21788.52,0,0
,,2401,13200,1600000,Seguretat Social,16370.76,0,16370.76,0,0
,,2401,15001,1200300,Retribucions sou base funcionari C1,11699.1,0,11699.1,0,0
,,2401,15001,1210000,Complement desti funcionaris,3696.84,0,3696.84,0,0
,,2401,15001,1210100,Complement específic funcionaris,6594.84,0,6594.84,0,0
,,2401,15001,1600000,Seguretat Social,6823.02,0,6823.02,0,0
,,2401,17000,1200000,Retribució sou base funcionari A1,17427.44,0,17427.44,0,0
,,2401,17000,1200600,Trienis,1023.6,0,1023.6,0,0
,,2401,17000,1210000,Complement Destí  funcionaris,6179.28,0,6179.28,0,0
,,2401,17000,1210100,Complement específic funcionaris,8808.6,0,8808.6,0,0
,,2401,17000,1300000,Retribucions bàsiques personal laboral,73002.06,0,73002.06,0,0
,,2401,17000,1300200,Altres retribucions personal laboral,31731.12,0,31731.12,0,0
,,2401,17000,1600000,Seguretat Social,36969.6,0,36969.6,0,0
,,2401,23105,1300000,Retribucions bàsiques personal laboral,80778.64,0,80778.64,0,0
,,2401,23105,1300200,Altres retribucions personal laboral,5534.16,0,5534.16,0,0
,,2401,23105,1600000,Seguretat Social,29735.4,0,29735.4,0,0
,,2401,23113,1300000,Retribucions bàsiques personal laboral,28659.08,0,28659.08,0,0
,,2401,23113,1300200,Altres retribucions personal laboral,8815.8,0,8815.8,0,0
,,2401,23113,1600000,Seguretat social,13504.92,0,13504.92,0,0
,,2401,32000,1300000,Retribucions bàsiques personal laboral,27484.02,0,27484.02,0,0
,,2401,32000,1300200,Altres retribucions personal laboral,1583.4,0,1583.4,0,0
,,2401,32000,1600000,Seguretat Social,9996.15,0,9996.15,0,0
,,2401,33210,1300000,Retribucions bàsiques personal laboral,21275.12,0,21275.12,0,0
,,2401,33210,1600000,Seguretat Social,7054.44,0,7054.44,0,0
,,2401,33701,1300000,Retribucions bàsiques personal laboral,21780.28,0,21780.28,0,0
,,2401,33701,1300200,Altres retribucions personal laboral,654.48,0,654.48,0,0
,,2401,33701,1600000,Seguretat Social,6985.44,0,6985.44,0,0
,,2401,91203,1300000,Retribucions bàsiques Personal laboral,20511.56,-20511.56,0,0,0
,,2401,91203,1600000,Seguretat Social,6660.24,0,6660.24,0,0
,,2401,92003,1300000,Retribucions bàsiques personal laboral,21597.6,-21597.6,0,0,0
,,2401,92003,1300200,Altres retribucions personal laboral,614.52,-614.52,0,0,0
,,2401,92003,1600000,Seguretat Social,6863.64,-6863.64,0,0,0
,,2401,92007,1300000,Retribucions bàsiques personal laboral,20219,0,20219,0,0
,,2401,92007,1300200,Altres retribucions personal laboral,286.8,0,286.8,0,0
,,2401,92007,1600000,Seguretat Social,6336.36,0,6336.36,0,0
,,2401,92013,1100000,Retribucions bàsiques Eventual Gabinets,40185,0,40185,0,0
,,2401,92013,1100100,Retribucions Complementàries Eventual Ga,64815,0,64815,0,0
,,2401,92013,1200000,Retribució sou base funcionari A1,166973.8,0,166973.8,0,0
,,2401,92013,1200100,Retribució sou base funcionari A2,140804.84,0,140804.84,0,0
,,2401,92013,1200300,Retribució sou base funcionari C1,177961.14,0,177961.14,0,0
,,2401,92013,1200400,Retribució sou base funcionari C2,10292.84,0,10292.84,0,0
,,2401,92013,1210000,Complement Destí  funcionaris,173220.24,0,173220.24,0,0
,,2401,92013,1210100,Complement específic funcionaris,401552.28,0,401552.28,0,0
,,2401,92013,1300000,Retribucions bàsiques personal laboral,162556.5,0,162556.5,0,0
,,2401,92013,1300200,Altres complements personal laboral,12144.24,0,12144.24,0,0
,,2401,92013,1600000,Seguretat Social,414159.6,0,414159.6,0,0
,,2401,92023,1200100,Retribucions sou base funcionaris A2,15951.1,-15951.1,0,0,0
,,2401,92023,1200600,Trienis,1150.2,0,1150.2,0,0
,,2401,92023,1210000,Complement destí funcionaris,6179.28,0,6179.28,0,0
,,2401,92023,1210100,Complement específic funcionaris,11313.72,-11313.72,0,0,0
,,2401,92023,1300000,Retribucions bàsiques personal laboral,42502.34,-41988.18,514.16,0,0
,,2401,92023,1600000,Seguretat Social,25442.28,-25442.28,0,0,0
,,2401,93101,1200000,Retribucions sou base funcionaris A1,19744.24,-19744.24,0,0,0
,,2401,93101,1210000,Complement destí funcionaris,7508.04,0,7508.04,0,0
,,2401,93101,1210100,Complement específic funcionaris,22012.08,-22012.08,0,0,0
,,2401,93101,1600000,Seguretat Social,13417.2,-13417.2,0,0,0
,,2410,92013,1200000,Retribució sou base funcionari A1,20199.02,0,20199.02,9738.77,0
,,2410,92013,1200300,Retribució sou base funcionari C1,11790.94,0,11790.94,6629.98,0
,,2410,92013,1200600,Triennis,4601.04,0,4601.04,2380.25,0
,,2410,92013,1210000,Complement Destí  funcionaris,11204.88,0,11204.88,5962.85,0
,,2410,92013,1210100,Complement específic funcionaris,28606.92,0,28606.92,15002.84,0
,,2410,92013,1300000,Retribucions bàsiques personal laboral,35024.02,0,35024.02,14718.28,0
,,2410,92013,1300100,Hores extraordinàries,0,0,0,152.1,0
,,2410,92013,1300200,Altres retribucions personal laboral,4073.76,0,4073.76,2017.41,0
,,2410,92013,1310000,Retribucions personal laboral eventual,0,0,0,6281.73,0
,,2410,92013,1600000,Seguretat Social,31965.96,0,31965.96,15372.73,0
,,2420,92014,1200100,Retribució sou base funcionari A2,18365.1,0,18365.1,10160.81,0
,,2420,92014,1200300,Retribució sou base funcionari C1,73414.88,0,73414.88,39544.2,0
,,2420,92014,1200600,Triennis,11348.9,0,11348.9,6265.05,0
,,2420,92014,1210000,Complement Destí  funcionaris,31321.44,0,31321.44,17803.77,0
,,2420,92014,1210100,Complement específic funcionaris,71721,0,71721,41017.07,0
,,2420,92014,1510000,Gratificacions treballs extraordinaris,0,0,0,96.06,0
,,2420,92014,1600000,Seguretat Social,52854.07,0,52854.07,25769.87,0
,,2430,92013,1620000,Formació prevenció riscos laborals,30000,0,30000,11181.94,0
,,2430,92017,1200000,Sous del Grup A1,0,0,0,0,0
,,2430,92017,1200300,Retribució sou base funcionari C1,14518.52,0,14518.52,5604.47,0
,,2430,92017,1200600,Triennis,3649.44,0,3649.44,1287.44,0
,,2430,92017,1210000,Complement Destí  funcionaris,6179.28,0,6179.28,2179.91,0
,,2430,92017,1210100,Complement específic funcionaris,17656.44,0,17656.44,6228.8,0
,,2430,92017,1300000,Retribucions bàsiques personal laboral,72321.1,0,72321.1,30180.03,0
,,2430,92017,1300100,Hores extraordinàries,0,0,0,115.26,0
,,2430,92017,1300200,Altres retribucions personal laboral,24681.36,0,24681.36,11888.38,0
,,2430,92017,1310000,Retribucions personal laboral eventual,0,0,0,5042.73,0
,,2430,92017,1430000,Despeses per substitucions,0,0,0,26419.97,0
,,2430,92017,1600000,Seguretat Social,37846.92,0,37846.92,22727.94,0
,,2430,92017,1610400,Indemnització al personal lab. per jubilacions anticipades.,0,0,0,17147.13,0
,,2430,92017,2269900,Altres despeses,1000,0,1000,0,0
,,2430,92017,2279909,Contractes desenvolupament serveis,80000,0,80000,45195.55,0
,,2440,92012,1620900,Altres despeses socials,0,0,0,0,0
,,2440,92015,1200000,Retribució sou base funcionari A1,17830.36,0,17830.36,10046.54,0
,,2440,92015,1200300,Retribució sou base funcionari C1,23781.22,0,23781.22,11385.1,0
,,2440,92015,1200600,Triennis,6810.12,0,6810.12,3740.42,0
,,2440,92015,1210000,Complement Destí  funcionaris,13572.96,0,13572.96,7293.48,0
,,2440,92015,1210100,Complement específic funcionaris,21998.28,0,21998.28,11717.14,0
,,2440,92015,1300000,Retribucions bàsiques personal laboral,38970.76,0,38970.76,22136.57,0
,,2440,92015,1300100,Hores extraordinàries,0,0,0,96.06,0
,,2440,92015,1300200,Altres retribucions personal laboral,15865.56,0,15865.56,9268.13,0
,,2440,92015,1430000,Despeses per substitució,22720.54,0,22720.54,13014.69,0
,,2440,92015,1600000,Seguretat Social,41792.55,0,41792.55,20184.48,0
,,2440,92015,1620900,Altres despeses socials,0,0,0,554,0
,,2500,92002,1200000,Retribució sou base funcionari A1,18173.8,0,18173.8,10218.26,0
,,2500,92002,1200300,Retribucions sou base funcionari C1,0,0,0,6827.58,0
,,2500,92002,1200600,Triennis,2067.84,0,2067.84,1834.16,0
,,2500,92002,1210000,Complement Destí  funcionaris,7508.04,0,7508.04,6545.53,0
,,2500,92002,1210100,Complement específic funcionaris,11313.6,0,11313.6,11595.57,0
,,2500,92002,1310000,Retribucions personal Laboral eventual,42748.42,0,42748.42,24534.6,0
,,2500,92002,1600000,Seguretat Social,24517.8,0,24517.8,15654.96,0
,,2600,92008,1200300,Retribució sou base funcionari C1,62512.34,0,62512.34,41948.61,0
,,2600,92008,1200600,Triennis,10055.22,0,10055.22,4307.19,0
,,2600,92008,1210000,Complement Destí  funcionaris,20661.48,0,20661.48,9592.23,0
,,2600,92008,1210100,Complement específic funcionaris,40895.16,0,40895.16,18880.25,0
,,2600,92008,1210300,Altres complements funcionaris,4982.04,0,4982.04,0,0
,,2600,92008,1300000,Retribucions bàsiques personal laboral,249002.45,0,249002.45,113154.58,0
,,2600,92008,1300100,Hores extraordinàries,0,0,0,1835.46,0
,,2600,92008,1300200,Altres retribucions personal laboral,33571.68,0,33571.68,16536.91,0
,,2600,92008,1310000,Retribucions personal laboral eventual,0,0,0,18718.49,0
,,2600,92008,1430000,Despeses per substitució,105338.08,0,105338.08,78856.09,0
,,2600,92008,1510000,Gratificacions treballs extraordinaris,0,0,0,975.49,0
,,2600,92008,1600000,Seguretat Social,152865.75,0,152865.75,67896.94,0
,,2600,92008,1610400,Indemnització al personal lab. per jubilacions anticipades.,0,0,0,0,0
,,2600,92008,2160100,Manteniment d'equips d'informàtica,284180,0,284180,174267.78,0
,,2600,92008,2200200,Manteniment llicències software,88000,0,88000,10946.27,0
,,2600,92008,2270600,Estudis i treballs tècnics,177100,-3811.5,173288.5,60127.68,0
,,2600,92008,2279916,Contractes manteniment de programes informàtics,168103.6,0,168103.6,37756.29,0
,,2600,92008,6260100,Equips procès d'informació,180000,0,180000,70298.33,0
,,2600,92008,6410000,Aplicacions informàtiques,271000,64000,335000,120446.77,0
,,2600,92010,2130200,Manteniment maquinària,16885,0,16885,3187,0
,,2600,92010,2220000,Telèfons,360000,0,360000,269141.55,0
,,2600,92010,6230100,"Maquinaria, instal·lacions tècniques i utillatge",5000,48576.84,53576.84,1447.1,0
,,2600,92310,2279916,Contractes manteniment de programes informàtics-Gestió padró,3670,0,3670,4236.54,0
,,2700,92004,1200300,Retribució sou base funcionari C1,36910.84,0,36910.84,34272.95,0
,,2700,92004,1200400,Retribució sou base funcionari C2,10309.13,0,10309.13,5756.92,0
,,2700,92004,1200600,Triennis,6213.26,0,6213.26,3293.45,0
,,2700,92004,1210000,Complement Destí  funcionaris,16418.76,0,16418.76,13432.56,0
,,2700,92004,1210100,Complement específic funcionaris,30588.6,0,30588.6,24807.82,0
,,2700,92004,1300000,Retribucions bàsiques personal laboral,34297.16,0,34297.16,19461.85,0
,,2700,92004,1300200,Altres retribucions personal laboral,17361.96,0,17361.96,10142.27,0
,,2700,92004,1510000,Gratificacions treballs extraordinaris,0,0,0,1918.58,0
,,2700,92004,1600000,Seguretat Social,40154.04,39308.32,79462.36,26513.59,0
,,2700,92004,2269900,Altres despeses,3000,0,3000,22367.61,0
