#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials
,,2400,23108,1210000,Complement Destí  funcionaris,128772.36
,,2400,23108,1210100,Complement específic funcionaris,239649.48
,,2400,23108,1600000,Seguretat Social,252839.23
,,2400,91201,2330001,Altres indemnitzacions per assistència a orgàns col·legiats,27000
,,2400,92013,8310000,Préstecs al personal llarg termini,180000
,,2400,92013,1500000,Complement productivitat,973452.95
,,2400,92013,1510000,Treballs extraordinaris,81947
,,2400,92013,1600000,Seguretat social,294975.96
,,2400,92013,1620000,Formació,63200
,,2400,92013,1620400,Ajuts socials,46000
,,2400,92013,1620900,Premis antiguitat,35000
,,2400,92013,2260300,Anuncis oficials,4000
,,2400,92013,2269900,Altres despeses,2000
,,2400,92013,2270600,Estudis i treballs tècnics,50000
,,2400,92013,2301000,Dietes serveis generals,12000
,,2400,92013,2302000,Xecs menjador,40000
,,2400,92013,2302001,Dietes jornada partida,30000
,,2400,92013,2311000,Locomoció serveis generals,9000
,,2400,92013,2330000,Altres indemnitzacions,3000
,,2400,92013,4890100,Altres transferències,3500
,,2401,13200,1200300,Retribucions sou base funcionaris C1,43316.16
,,2401,13200,1210000,Complement destí funcionaris,12025.08
,,2401,13200,1210100,Complement específic funcionaris,46036.44
,,2401,13200,1600000,Seguretat Social,30229.2
,,2401,15001,1200300,Retribucions sou base funcionari C1,23632.36
,,2401,15001,1200600,Trienis,1382.16
,,2401,15001,1210000,Complement desti funcionaris,7467.84
,,2401,15001,1210100,Complement específic funcionaris,13321.2
,,2401,15001,1600000,Seguretat Social,13929
,,2401,17000,1300000,Retribucions bàsiques personal laboral,73614.56
,,2401,17000,1300200,Altres retribucions personal laboral,32048.4
,,2401,17000,1600000,Seguretat Social,27818.88
,,2401,23105,1300000,Retribucions bàsiques personal laboral,112280.39
,,2401,23105,1300200,Altres retribucions personal laboral,8285.88
,,2401,23105,1600000,Seguretat Social,41896.56
,,2401,23113,1300000,Retribucions bàsiques personal laboral,27936.3
,,2401,23113,1300200,Altres retribucions personal laboral,8903.88
,,2401,23113,1600000,Seguretat social,11383.08
,,2401,32000,1300000,Retribucions bàsiques personal laboral,52588.28
,,2401,32000,1300200,Altres retribucions personal laboral,2260.2
,,2401,32000,1600000,Seguretat Social,18626.28
,,2401,33210,1300000,Retribucions bàsiques personal laboral,20448.72
,,2401,33210,1300200,ALtres retribucions personal laboral,1039.08
,,2401,33210,1600000,Seguretat Social,7083.12
,,2401,91203,1300000,Retribucions bàsiques Personal laboral,20716.68
,,2401,91203,1600000,Seguretat Social,8224.56
,,2401,92003,1300000,Retribucions bàsiques personal laboral,21813.56
,,2401,92003,1300200,Altres retribucions personal laboral,2844.12
,,2401,92003,1600000,Seguretat Social,9305.4
,,2401,92013,1200000,Retribució sou base funcionari A1,129502.62
,,2401,92013,1200100,Retribució sou base funcionari A2,211246.06
,,2401,92013,1200300,Retribució sou base funcionari C1,236998.03
,,2401,92013,1200400,Retribució sou base funcionari C2,10395.86
,,2401,92013,1210000,Complement Destí  funcionaris,200545.32
,,2401,92013,1210100,Complement específic funcionaris,473056.32
,,2401,92013,1300000,Retribucions bàsiques personal laboral,283613.9
,,2401,92013,1300200,Altres complements personal laboral,7936.32
,,2401,92013,1600000,Seguretat Social,471493.83
,,2401,92023,1200100,Retribucions sou base funcionaris A2,16265.88
,,2401,92023,1200600,Trienis,1150.2
,,2401,92023,1210000,Complement destí funcionaris,6241.08
,,2401,92023,1210100,Complement específic funcionaris,11426.76
,,2401,92023,1300000,Retribucions bàsiques personal laboral,42927.38
,,2401,92023,1600000,Seguretat Social,27874.41
,,2401,93101,1200000,Retribucions sou base funcionaris A1,54932.82
,,2401,93101,1210000,Complement destí funcionaris,20065.32
,,2401,93101,1210100,Complement específic funcionaris,40025.16
,,2401,93101,1600000,Seguretat Social,31380.84
,,2401,93400,1200000,Retribucions sou base funcionari A1,22317.6
,,2401,93400,1200600,Triennis,2933.4
,,2401,93400,1210000,Complement destí funcionaris,11858.76
,,2401,93400,1210100,Complement específic funcionaris,30322.44
,,2401,93400,1600000,Seguretat social,11343.6
,,2410,92013,1200000,Retribució sou base funcionari A1,20428.01
,,2410,92013,1200300,Retribució sou base funcionari C1,11908.94
,,2410,92013,1200600,Triennis,4909.08
,,2410,92013,1210000,Complement Destí  funcionaris,11317.08
,,2410,92013,1210100,Complement específic funcionaris,28892.64
,,2410,92013,1300000,Retribucions bàsiques personal laboral,26025.2
,,2410,92013,1300200,Altres retribucions personal laboral,3488.04
,,2410,92013,1310000,Retribucions personal Laboral eventual,10015.99
,,2410,92013,1600000,Seguretat Social,32340.21
,,2420,92014,1200100,Retribució sou base funcionari A2,18548.84
,,2420,92014,1200300,Retribució sou base funcionari C1,74195.95
,,2420,92014,1200600,Triennis,11964.57
,,2420,92014,1210000,Complement Destí  funcionaris,31635.36
,,2420,92014,1210100,Complement específic funcionaris,72436.92
,,2420,92014,1600000,Seguretat Social,53551.02
,,2430,92013,1620000,Formació prevenció riscos laborals,40000
,,2430,92017,1200000,Retribució sou base funcionari A1,17495.52
,,2430,92017,1210000,Complement Destí  funcionaris,6241.08
,,2430,92017,1210100,Complement específic funcionaris,8896.56
,,2430,92017,1300000,Retribucions bàsiques personal laboral,38340.3
,,2430,92017,1300200,Altres retribucions personal laboral,16024.2
,,2430,92017,1310000,Retribucions personal Laboral eventual,11688.76
,,2430,92017,1430000,Despeses per substitució,65266.32
,,2430,92017,1600000,Seguretat Social,47991.08
,,2430,92017,2269900,Altres despeses,1000
,,2430,92017,2279909,Contractes desenvolupament serveis,90000
,,2440,92015,1200000,Retribució sou base funcionari A1,18008.82
,,2440,92015,1200300,Retribució sou base funcionari C1,24124.54
,,2440,92015,1200600,Triennis,7004.07
,,2440,92015,1210000,Complement Destí  funcionaris,13708.92
,,2440,92015,1210100,Complement específic funcionaris,22217.76
,,2440,92015,1300000,Retribucions bàsiques personal laboral,39492.18
,,2440,92015,1300200,Altres retribucions personal laboral,16024.2
,,2440,92015,1430000,Despeses per substitució,22947.86
,,2440,92015,1600000,Seguretat Social,42412.74
,,2500,92002,1200000,Retribució sou base funcionari A1,18355.68
,,2500,92002,1200300,Retribució sou base funcionari C1,12354.48
,,2500,92002,1200600,Triennis,3359.79
,,2500,92002,1210000,Complement Destí  funcionaris,11317.08
,,2500,92002,1210100,Complement específic funcionaris,20048.04
,,2500,92002,1310000,Retribucions personal Laboral eventual,43177.16
,,2500,92002,1600000,Seguretat Social,31428.54
,,2600,92008,1200300,Retribució sou base funcionari C1,63207.48
,,2600,92008,1200600,Triennis,10748.67
,,2600,92008,1210000,Complement Destí  funcionaris,20868.48
,,2600,92008,1210100,Complement específic funcionaris,41303.16
,,2600,92008,1210300,Altres complements funcionaris,5031.84
,,2600,92008,1300000,Retribucions bàsiques personal laboral,155644.16
,,2600,92008,1300200,Altres retribucions personal laboral,22314.84
,,2600,92008,1310000,Retribucions personal Laboral eventual,43980.98
,,2600,92008,1430000,Despeses per substitució,169677.73
,,2600,92008,1600000,Seguretat Social,156908.6
,,2600,92008,2160100,Manteniment d'equips d'informàtica,284000
,,2600,92008,2200200,Manteniment llicències software,104170
,,2600,92008,2270600,Estudis i treballs tècnics,180000
,,2600,92008,2279916,Contractes manteniment de programes informàtics,160000
,,2600,92008,6260100,Equips procès d'informació,170000
,,2600,92008,6410000,Aplicacions informàtiques,150000
,,2600,92010,2130200,Manteniment maquinària,16885
,,2600,92010,2220000,Telèfons,360000
,,2600,92010,6230100,"Maquina, instal·lacions tècniques i utillatge",126000
,,2600,92310,2279916,Contractes manteniment de programes informàtics-Gestió padró,3670
,,2700,92004,1200300,Retribució sou base funcionari C1,37349.83
,,2700,92004,1200400,Retribució sou base funcionari C2,10430.4
,,2700,92004,1200600,Triennis,6961.53
,,2700,92004,1210000,Complement Destí  funcionaris,16583.16
,,2700,92004,1210100,Complement específic funcionaris,30894
,,2700,92004,1300000,Retribucions bàsiques personal laboral,34641.1
,,2700,92004,1300200,Altres retribucions personal laboral,17535.48
,,2700,92004,1600000,Seguretat Social,40864.72
,,2700,92004,2269900,Altres despeses,3000
,,2700,92004,2270600,Estudis i treballs tècnics,22000
,,2700,92401,2269980,Processos electorals,70000
,,2710,92007,1200400,Retribució sou base funcionari C2,10540.56
,,2710,92007,1200600,Triennis,858.69
,,2710,92007,1210000,Complement Destí  funcionaris,3183.72
,,2710,92007,1210100,Complement específic funcionaris,7908.24
,,2710,92007,1300000,Retribucions bàsiques personal laboral,219260.53
,,2710,92007,1300200,Altres retribucions personal laboral,3946.8
,,2710,92007,1310000,Retribucions personal Laboral eventual,44341.3
,,2710,92007,1430000,Despeses per substitució,42366.32
,,2710,92007,1600000,Seguretat Social,99598.37
,,2710,92007,2220100,Comunicacions postals,180000
,,2710,92007,2269900,Altres despeses,28000
,,2720,92501,1200300,Retribució sou base funcionari C1,203912.7
,,2720,92501,1200400,Retribució sou base funcionari C2,10540.56
,,2720,92501,1200600,Triennis,29240.13
,,2720,92501,1210000,Complement Destí  funcionaris,65983.32
,,2720,92501,1210100,Complement específic funcionaris,174717.6
,,2720,92501,1300000,Retribucions bàsiques personal laboral,101090.3
,,2720,92501,1300200,Altres retribucions personal laboral,13952.16
,,2720,92501,1310000,Retribucions personal Laboral eventual,7485.91
,,2720,92501,1600000,Seguretat Social,162876.01
,,2720,92501,2269900,Altres despeses,5000
,,2800,92009,1200000,Retribució sou base funcionari A1,39398.76
,,2800,92009,1200300,Retribució sou base funcionari C1,24920.5
,,2800,92009,1200600,Triennis,16279.92
,,2800,92009,1210000,Complement Destí funcionaris,23733
,,2800,92009,1210100,Complement específic funcionaris,49708.2
,,2800,92009,1600000,Seguretat Social,35721.62
,,2800,92009,2260300,Anuncis oficials,20000
,,2900,23105,2020100,Lloguers,135000
,,2900,33701,2020100,Lloguers,75000
,,2900,92000,2120200,Manteniment d'edificis -admon.gral,100000
,,2900,92000,2120400,Conservació i reparacions d'edificis,20000
,,2900,92000,2240000,Assegurances,321700
,,2900,92000,6320000,Edificis i altres construccions,150000
,,2900,92005,2060000,Lloguer equips informàtics,37000
,,2900,92005,2130100,Manteniment instal.lacions,80000
,,2900,92005,2200000,Material d'oficina,60000
,,2900,92005,2210300,Combustibles,63000
,,2900,92005,2210400,Vestuari,165000
,,2900,92005,2211000,Material neteja,36000
,,2900,92006,2269900,Altres despeses,2500
,,2900,92018,6250200,Equips multifunció,5000
,,2900,92020,1200000,Retribució sou base funcionari A1,38612.98
,,2900,92020,1200300,Retribució sou base funcionari C1,26197.72
,,2900,92020,1200600,Triennis,13036.28
,,2900,92020,1210000,Complement Destí  funcionaris,22390.92
,,2900,92020,1210100,Complement específic funcionaris,49734.24
,,2900,92020,1210300,Altres complements funcionaris,6197.88
,,2900,92020,1300000,Retribucions bàsiques personal laboral,25839.62
,,2900,92020,1300200,Altres retribucions personal laboral,2374.56
,,2900,92020,1600000,Seguretat Social,48711.84
,,2900,92020,2269900,Altres despeses,1000
,,2900,92020,2270600,Estudis i treballs tècnics,10000
,,2900,92021,6250100,Mobiliari,45000
,,2900,92400,2020100,Lloguers,74000
,,2910,92006,1200000,Retribució sou base funcionari A1,17629.77
,,2910,92006,1200300,Retribució sou base funcionari C1,23995.99
,,2910,92006,1200600,Triennis,3601.17
,,2910,92006,1210000,Complement Destí  funcionaris,13708.92
,,2910,92006,1210100,Complement específic funcionaris,22217.76
,,2910,92006,1600000,Seguretat Social,23581.87
,,3000,13200,1200300,Retribució sou base funcionari C1,13441.15
,,3000,13200,1200600,Triennis,2631.3
,,3000,13200,1210000,Complement Destí  funcionaris,3733.92
,,3000,13200,1210100,Complement específic funcionaris,14045.04
,,3000,13200,1600000,Seguretat Social,8591.2
,,3100,13200,1200000,Retribució sou base funcionari A1,22693.56
,,3100,13200,1200300,Retribució sou base funcionari C1,218303.3
,,3100,13200,1200600,Triennis,35013.42
,,3100,13200,1210000,Complement Destí  funcionaris,77377.8
,,3100,13200,1210100,Complement específic funcionaris,271996.56
,,3100,13200,1300000,Retribucions bàsiques personal laboral,25748.1
,,3100,13200,1300200,Altres retribucions personal laboral,937.32
,,3100,13200,1600000,Seguretat Social,169585.04
,,3100,13200,2130300,Manteniment i reparació d'equips,35000
,,3100,13200,2140100,Manteniment i neteja de vehicles,77000
,,3100,13200,2219900,Altres subministraments,4200
,,3100,13200,2220300,Comunicacions informàtiques,3500
,,3100,13200,2230000,Transports,500
,,3100,13200,2269900,Altres despeses,12500
,,3100,13200,2269901,Transferència Fòrum Europeu,4000
,,3100,13200,6240000,Elements de transport,60000
,,3100,13301,2279903,Arrossegament de vehicles,750000
,,3100,13500,2269911,Pla d'emergència,5200
,,3200,13200,1210000,COMPLEMENT DE DESTINACIÓ.,395340.24
,,3200,13200,1200000,Retribució sou base funcionari A1,20722.2
,,3200,13200,1200300,Retribució sou base funcionari C1,1382631.42
,,3200,13200,1200600,Triennis,167574.18
,,3200,13200,1210100,Complement específic funcionaris,1539338.16
,,3200,13200,1210300,Altres complements funcionaris,3991.68
,,3200,13200,1600000,Seguretat Social,935032.42
,,3200,13500,1200300,Retribucions sou base C1,15206.43
,,3200,13500,1200600,Trienis,1674.18
,,3200,13500,1210000,Complement destí funcionaris,4557.96
,,3200,13500,1210100,Complement específic funcionaris,17712.84
,,3200,13500,1600000,Seguretat social,10585.4
,,5000,23100,1100000,Retribucions Bàsiques Eventual Gabinets,17498.08
,,5000,23100,1100100,Retribucions Complementàries Eventual Ga,50423.68
,,5000,23100,1300000,Retribucions bàsiques personal laboral,31867.66
,,5000,23100,1300200,Altres retribucions personal laboral,1599.24
,,5000,23100,1310000,Retribucions personal Laboral eventual,6849.64
,,5000,23100,1600000,Seguretat Social,26817.24
,,5000,23100,2260300,Anuncis oficials,500
,,5000,23100,2269900,Altres despeses,5000
,,5000,32406,4670100,Transferències a l'Heura,155000
,,5000,92400,4890101,Conveni Foment Associacionisme Ciutadà-FAVGRAM,13000
,,5020,23104,1300000,Retribucions bàsiques personal laboral,153711.94
,,5020,23104,1300200,Altres retribucions personal laboral,15688.68
,,5020,23104,1600000,Seguretat Social,53896.56
,,5021,23110,4640000,EMT. Targeta rosa de transport,49000
,,5021,92023,1300000,Retribucions bàsiques personal laboral,32500.24
,,5021,92023,1300200,Altres retribucions personal laboral,3794.16
,,5021,92023,1600000,Seguretat Social,11208.42
,,5022,23111,2230000,Transports,575000
,,5022,23111,2269900,Altres despeses,4000
,,5022,23111,2279909,Contractes desenvolupament serveis,8000
,,5022,23111,4800200,Transferències Serveis Socials a Institucions,25000
,,5022,92023,1200300,Retribució sou base funcionari C1,11978.51
,,5022,92023,1200600,Triennis,1020.3
,,5022,92023,1210000,Complement Destí  funcionaris,3733.92
,,5022,92023,1210100,Complement específic funcionaris,6660.6
,,5022,92023,1600000,Seguretat Social,7177.1
,,5023,23112,2269900,Altres despeses,6345
,,5023,23112,2279909,Contractes desenvolupament serveis,559000
,,5024,23101,2269900,Altres despeses,3610
,,5024,23101,4790200,Subvenció dèficit explotació concessionari SAD,3480000
,,5024,23102,2279909,Contractes desenvolupament serveis,270000
,,5024,92023,1200300,Retribució sou base funcionari C1,12203
,,5024,92023,1200400,Retribució sou base funcionari C2,11014.43
,,5024,92023,1200600,Triennis,5406.72
,,5024,92023,1210000,Complement Destí  funcionaris,6917.64
,,5024,92023,1210100,Complement específic funcionaris,15349.8
,,5024,92023,1430000,Despeses per substitució,22579.28
,,5024,92023,1600000,Seguretat Social,19635.32
,,5030,31100,1200300,Retribució sou base funcionari C1,11816.18
,,5030,31100,1200400,Retribució sou base funcionari C2,10394.22
,,5030,31100,1200600,Triennis,657.72
,,5030,31100,1210000,Complement Destí  funcionaris,6917.64
,,5030,31100,1210100,Complement específic funcionaris,13907.88
,,5030,31100,1300000,Retribucions bàsiques personal laboral,65336.34
,,5030,31100,1300200,Altres retribucions personal laboral,19134.72
,,5030,31100,1310000,Retribucions personal Laboral eventual,6003.94
,,5030,31100,1600000,Seguretat Social,39384
,,5030,31100,2219909,Material tècnic,2000
,,5030,31100,2269900,Altres despeses,5000
,,5030,31100,2270600,Estudis i treballs tècnics,7000
,,5030,31100,2279909,Contractes desenvolupament serveis,1000
,,5030,92023,1200300,Retribució sou base funcionari C1,23971.22
,,5030,92023,1200600,Triennis,2173.56
,,5030,92023,1210000,Complement Destí  funcionaris,7467.84
,,5030,92023,1210100,Complement específic funcionaris,13321.2
,,5030,92023,1600000,Seguretat Social,13069.2
,,5031,31101,2210600,Productes farmacèutics i sanitaris,2600
,,5031,31101,2269900,Altres despeses,4900
,,5031,31101,2270600,Estudis i treballs tècnics,18000
,,5032,49301,1200300,Retribució sou base funcionari C1,12197.05
,,5032,49301,1200600,Triennis,2311.17
,,5032,49301,1210000,Complement Destí  funcionaris,3733.92
,,5032,49301,1210100,Complement específic funcionaris,6660.6
,,5032,49301,1600000,Seguretat Social,6270.66
,,5032,49301,2270600,Estudis i treballs tècnics,21650
,,5032,49302,2270600,Estudis i treballs tècnics,3460
,,5033,31102,1200300,Retribució sou base funcionari C1,12719.98
,,5033,31102,1200600,Triennis,2483.52
,,5033,31102,1210000,Complement Destí  funcionaris,3733.92
,,5033,31102,1210100,Complement específic funcionaris,9762.48
,,5033,31102,1300000,Retribucions bàsiques personal laboral,55477.16
,,5033,31102,1300200,Altres retribucions personal laboral,4087.44
,,5033,31102,1600000,Seguretat Social,26214.96
,,5033,31102,2269900,Altres despeses,8500
,,5033,31102,2279909,Contractes desenvolupament serveis,30960
,,5100,92023,1200000,Retribució sou base funcionari A1,37941.54
,,5100,92023,1200300,Retribució sou base funcionari C1,37441.27
,,5100,92023,1200600,Triennis,11758.77
,,5100,92023,1210000,Complement Destí  funcionaris,26124.84
,,5100,92023,1210100,Complement específic funcionaris,52386.12
,,5100,92023,1300000,Retribucions bàsiques personal laboral,166545
,,5100,92023,1300200,Altres retribucions personal laboral,20126.64
,,5100,92023,1430000,Despeses per substitució,45895.72
,,5100,92023,1600000,Seguretat Social,109730.59
,,5112,23113,1200000,Retribució sou base funcionari A1,18122.36
,,5112,23113,1200100,Retribució sou base funcionari A2,15582.66
,,5112,23113,1200600,Triennis,4458.56
,,5112,23113,1210000,Complement Destí  funcionaris,11521.56
,,5112,23113,1210100,Complement específic funcionaris,18654.36
,,5112,23113,1300000,Retribucions bàsiques personal laboral,22947.42
,,5112,23113,1300200,Altres retribucions personal laboral,1441.92
,,5112,23113,1600000,Seguretat Social,26805.57
,,5112,23113,2279909,Contractes desenvolupament serveis,30500
,,5112,23117,1200100,Retribució sou base funcionari A2,18302.64
,,5112,23117,1200600,Triennis,1277.28
,,5112,23117,1210000,Complement Destí  funcionaris,6040.95
,,5112,23117,1210100,Complement específic funcionaris,9308.7
,,5112,23117,1600000,Seguretat Social,10990.05
,,5112,23117,2200000,"Material d'oficina, ordinari no inventariable",1000
,,5112,23117,2279909,Contractes desenvolupament serveis,200000
