#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Drets reconeguts nets
,,5023,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,5024,34100,Ingressos serveis de teleassistència,90000,0,92001.1
,,5024,45002,Generalitat-Fitxa 1 SAD social i dependència,1180786.15,0,122583.6
,,5024,46132,Diputació BCN. Servei atenció domiciliària,320000,25822.18,0
,,5024,46401,AMB - Programa PAMMU,1329116.32,0,0
,,5030,46108,Diputació BCN. Conveni Salut Pública,15000,4389.95,23967.36
,,5030,76126,DIBA. Salut Pública,0,0,7500
,,5031,34101,Serveis assistencials,0,0,0
,,5032,46100,Subvencions Diputació de Barcelona,0,11888,0
,,5032,46129,Diputació Barcelona. Promoció i educació en consum,0,26141,33219
,,5033,32501,Expedició documents,0,0,0
,,5033,32910,Autorització sanitària municipal,0,0,110
,,5033,39190,Altres multes i sancions-programa protecció salut,10000,0,6501
,,5033,46108,Diputació BCN. Conveni Salut Pública,0,0,40166
,,5033,46129,Diputació Barcelona. Programa de seguretat alimentària,0,45365.4,0
,,5112,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,14925
,,5112,46101,Diputació BCN. Polítiques d'igualtat,15000,8743.84,15000
,,5112,46106,Diputació BCN. Polítiques d'igualtat,9000,698.28,7689
,,5140,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,0
,,5200,34400,Utilització equipmanets culturals,1020,0,1982
,,5209,45060,Generalitat. Fitxa 21. Programa drogodependències,98977.4,0,94028.53
,,5209,46145,Diputació BCN.Prev.Dorgodependències.Prev.medi obert,20000,0,0
,,5210,33902,Festa major d'estiu ocupació via pública,25000,0,33100
,,5210,46127,Diputació de Barcelona. Cicle festiu,0,13487,6743.5
,,5210,46199,Diputació Barcelona. Subvencions,0,0,9923.5
,,5410,39915,Execució de fiances,0,0,0
,,5411,34403,Utilització Teatre Josep Maria Segarra,47500,0,24640.44
,,5411,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,5411,46107,Diputació BCN. Festivals artístics i programació cultural,23500,0,27700
,,5411,46186,"Diputació de Barcelona. Teatre, música i dansa",0,0,8000
,,5412,34401,Utilització auditori Can Roig i Torres,5254.02,0,2240.26
,,5414,34414,Ingressos museu Torre Balldovina,100,0,0
,,5414,45032,Generalitat de Catalunya. Memòria històrica,0,0,0
,,5414,45080,"Generalitat.Aportació despese s""""El Puig Castellar""""",0,0,0
,,5414,45081,Generalitat. Aportació despeses Museus,0,5613,0
,,5414,46144,Diputació BCN. Difusió Patrimoni. Museu,5500,1300,8700
,,5414,46199,Diputació Barcelona. Subvencions,0,0,2000
,,5415,45049,Generalitat de Catalunya. Llibres biblioteques,0,0,20800
,,5415,45080,Generalitat. Adquisició llibres i diaris per Biblioteques,0,19000,0
,,5417,45060,Generalitat Fitxa 34 Activitats i projectes adreçats a joves,12900,0,13395
,,5417,46111,Diputació BCN. Punts informació juvenil,3500,2145.48,3500
,,5417,46112,Diputació BCN.Àrea cultura.Conveni juventut,12000,0,11115.79
,,5418,46500,Consell comarcal del Barcelonès,0,0,4174.46
,,5500,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,108633.95
,,5500,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,5500,46100,Subvencions Diputació de Barcelona,0,0,0
,,5500,46146,Diputació BCN. Infància i família. Intervenció medi obert,22000,0,0
,,5500,46147,Diputació BCN.Àrea Benestar Social.Conveni atenció primària,100000,130825.04,272310
,,5500,46199,Diputació Barcelona. Subvencions,0,0,9568
,,5500,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,44636
,,5501,45002,Generalitat. Fitxa 1. Equips bàsics,910354.9,0,8191.49
,,5502,45002,Generalitat.Fitxa 2. Intervenció Socioeducativa,365631,0,0
,,5503,45002,Generalitat.Fitxa 1. Ajuts socials,80141,0,0
,,5506,45002,Generalitat.Fitxa 6. Sistemes de resposta violència gènere,9600,0,9120
,,5509,45002,Generalitat. Fitxa 19. EAIA,385382,0,5795.1
,,5514,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,5514,45050,Generalitat. Fitxa 8. Plans d'inclusió social,80697.52,0,76662.64
,,5600,45002,Generalitat-Fitxa 7 Acollida i integració,87435,0,95698.25
,,5600,46139,Diputació BCN.Polítiques d'igualtat i ciutadania,18000,0,22000
,,5600,46180,Diputació BCN.Polítiques de migració i ciutadania,71250,0,71250
,,5700,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,2660
,,5800,55002,Concessions adminitratives,0,0,3674.2
,,5900,34301,Serveis esportius,248000,0,20137.35
,,5900,34303,Preus públics gimnàstica gent gran,11698.44,0,3456.9
,,5900,46100,Subvencions Diputació de Barcelona Esports,12300,0,8900
,,5900,55001,"Cànon complex Can Zam, Torribera i Raval",125000,0,86948.21
,,6120,45043,Generalitat. Pla Educatiu d'Entorn 2018 (PROEDUCAR),0,10000,0
,,6120,45080,Generalitat. Pla educatiu entorn,18000,0,2100
,,6120,46100,Subvencions Diputació de Barcelona,0,0,0
,,6120,46114,Diputació de Barcelona Activitats educatives complementàries,40000,1040,0
,,6120,46135,Diputació de Barcelona. Serveis Complementaris d'Educació,0,0,0
,,6120,46155,DIBA. Coneguem els nostres parcs,0,2342.4,0
,,6130,34201,Serveis educatius. Escoles bressol,0,4517.46,28209.85
,,6130,45030,Trans ctes cumpl conv els seus amb C.A en mat d'edució,0,0,-8684.55
,,6130,46115,Diputació BCN: Finançament de Llars d'Infants,350000,0,55602
,,6130,46133,Diputació de Barcelona. Suport finançament escoles bressol,0,0,335338.14
,,7000,39901,Despeses de publicitat: Anuncis licitacions,0,0,0
,,7000,45080,Generalitat. Foment de la prestació supramunicipal de servei,25000,0,0
,,7000,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,93075.04,0
,,7110,46108,Subvencions Diputació de Barcelona. Conveni Salut Pública,0,0,9504.78
,,7120,39190,Altres multes i sancions-medi ambient i higiene,12000,0,46203
,,7120,46108,Diputació BCN. Conveni Salut Pública,14000,1302.37,14000
,,7130,46199,Diputació Barcelona. Subvencions,0,0,1000
,,7150,39905,Energia fotovoltaica - plantes fotovoltàiques,45000,0,25873.62
,,7150,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,0
,,7200,46100,Subvencions Diputació de Barcelona,0,0,0
,,7300,39190,Altres multes i sancions,0,0,0
,,7300,39610,Quotes d'urbanització,0,0,0
,,7300,39701,Aprofitament urbanístic,0,0,0
,,7300,45102,Agència de l'habitatge de Catalunya,0,88657,88657
,,7300,46128,Diputació de Barcelona. Habitatge,0,18007.77,0
,,7300,46199,Diputació Barcelona. Subvencions,0,0,18000
,,7300,76400,Àrea Metropolitana de Barcelona.Programa PAMMU,0,264925.55,0
,,7300,91303,Préstecs entitat financera  programa de Crèdit Local,1400000,0,59416.03
,,7400,39610,Quotes urbanització,0,291407.83,189054.04
,,7400,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,7400,46400,Subvencions Àrea Metropolitana de Barcelona,0,1373.24,0
,,7400,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,0
,,7400,76400,Subvencions Àrea Metropolitana de Barcelona.,0,510107.54,63866.22
,,7400,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,7400,91303,Préstecs entitat financera  programa de Crèdit Local,0,0,0
,,7500,55004,Concessions administratives,0,0,442983.17
,,7500,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,0
,,7500,76100,Diputació de Barcelona. Subvencions de capital,0,2501640,0
,,7500,76121,DIBA. Tancament Molí d'En Ribé,0,289000,0
,,7500,76400,Subvencions Àrea Metropolitana de Barcelona.,0,7489199.12,2698123.4
,,7500,79100,Transf.de l'Exterior. Fons Feder,0,0,0
,,7500,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,4027703.07,4061008.17
,,7500,91303,Préstecs entitat financera,374308.58,0,0
,,7600,55002,Concessions administratives,0,0,27452.01
,,7610,34901,Escombraries industrials,1200000,0,1074708.11
,,7610,36001,"Venda de paper i cartró, envasos i vidre",350000,0,276732.52
,,7610,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,7610,47010,Conveni col·laboració Funerària Santa Coloma SA,20000,0,0
,,7660,32902,Mercats,515000,0,520927.57
,,7660,46199,Diputació Barcelona. Subvencions,0,0,1038.19
,,7660,55002,Concessions administratives- mercats municipals,8000,0,0
,,7660,55006,Lloguers parades mercats,9000,0,1332.07
,,7660,76100,Diputació de Barcelona. Subvencions de capital,0,0,0
,,7670,55001,Concessió administrativa cementiri municipal,35700,0,17622.86
,,7700,32502,Llicències d'obertura,125000,0,164187.06
,,7700,32503,Llicències d'obres,110000,0,110175.71
,,7700,33103,Plaques de guals,0,0,529
,,7700,39190,Altres multes i sancions-disciplina urbanística,25000,0,-3179.79
,,7700,39904,Desperfectes i obres exec.subs.-disciplina urbanística,39200,0,698.9
,,7700,39907,Instal·lacions de radiocomunicació,50000,0,0
,,7810,39904,Desperfectes i obres exec. subs-guals,12000,0,3150.07
,,7810,46125,Diputació BCN. Meses concertació 16-19 Manteniment via públi,250000,0,0
,,7810,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,7830,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0,53496.65,0
,,7850,46125,Diputació BCN. Meses concertació 16-19 Manteniment parcs,250000,0,0
,,7850,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,100000,0
,,7850,76125,Diputació BCN Meses concertació 16-19 Jocs infantils,250000,195575.41,0
,,7851,39906,Conexió clavegueram,0,0,411.35
,,7900,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,64989.6
,,7900,46125,Diputació BCN. Meses concertació 16-19 Mant. edificis,350000,0,0
,,7900,76100,Diputació de Barcelona. Subvencions de capital,0,0,0
,,7900,76125,Diputació BCN Meses concertació 16-19 Molí Ribé Poblat Ibèri,214717.5,440000,0
,,7900,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,7910,39908,Altres ingressos,0,0,1378.86
,,8110,39904,Desperfectes i obres exec. subs-serveis jurídics,18000,0,200
,,8110,39912,Costos processals,0,0,300
,,8110,39924,Indemnitzacions patrimonials-serveis jurídics,10000,0,5163.27
,,8400,39910,Gestió tribut de la mobilitat,85000,0,92843.45
,,8400,46140,Diputació de Barcelona. PROGRAMA DE CREDIT LOCAL,0,59416.03,59416.03
,,8400,51401,Interessos d'operacions financeres amb Gramepark SA,100000,0,0
,,8400,51402,Interessos d'operacions financeres amb Grameimpuls SA,100000,0,0
,,8400,52000,Rendiments bancaris,10000,0,975.34
,,8400,52001,Rendiments bancaris moneda local,0,0,0.67
,,8410,39200,Recàrrec per declaració extemporànea sense requerimi.previ,35000,0,48160.23
,,8410,39211,Recàrrec de constrenyiment,700000,0,51695.88
,,8410,39300,Interessos de demora,250000,0,151164.25
,,8410,39900,Costes del servei de recaptació,0,0,145.26
,,8410,39917,Interessos recàrrec extemporani,5000,0,8236.72
#TOT.,,,,,103223886.2,50102621.72,89397302.71
