#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Obligacions reconegudes
,,1500,92403,1300000,Retribucions bàsiques personal laboral,32915.06,0,3824.18
,,1500,92403,1300200,Altres retribucions personal laboral,3860.76,0,0
,,1500,92403,1600000,Seguretat social,11819.04,0,937.6
,,1500,92403,2260200,Publicitat i propaganda,0,0,18574.52
,,1500,92403,2269914,Dinamització processos,175000,-120000,0
,,1500,92403,2269999,Despeses subvencions EN ESPÈCIE,0,0,0
,,1500,92404,2269900,Altres despeses-procès participatiu PAM,26000,0,0
,,1500,92405,2269900,Altres despeses-regidories de districtes,10000,0,0
,,1600,23109,2210500,Productes alimentaris,0,0,0
,,1600,23109,2260600,"Reunions, conferències i cursos",0,0,0
,,1600,23109,2301001,Dietes personal directiu,0,0,1950
,,1600,23109,2302001,Dietes personal no directiu,0,0,0
,,1600,23109,2311001,Locomoció personal directiu,0,0,3302.16
,,1600,23109,6220000,Edificis i altres construccions,0,2901.58,0
,,1600,23109,1300000,Retribucions bàsiques personal laboral,66550.48,0,14522.52
,,1600,23109,1300200,Altres retribucions personal laboral,7948.08,0,2031.72
,,1600,23109,1600000,Seguretat social,23328.36,0,4035.74
,,1600,23109,2030000,"Arrendament de maquinària, instal·lacions i utillatge",0,0,1682.5
,,1600,23109,2200100,"Premsa, revistes, llibres i altres publicacions",3000,0,0
,,1600,23109,2219900,Altres Subministraments,0,0,0
,,1600,23109,2230000,Transports,0,0,0
,,1600,23109,2240000,Assegurances,0,0,0
,,1600,23109,2260900,Actes i exposicions,30000,263.68,2203.05
,,1600,23109,2269900,Programa joves i cooperació i altres despeses,38000,-2901.58,0
,,1600,23109,2270100,Seguretat,0,0,0
,,1600,23109,2270600,Estudis i treballs tècnics,17000,0,99.22
,,1600,23109,2279909,Contractes desenvolupament serveis,0,290.4,6524.45
,,1600,23109,2279910,Contractes activitats artístiques i culturals,0,0,0
,,1600,23109,2312000,Despeses de locomoció del personal no directiu,0,0,0
,,1600,23109,4890100,"Altres transferències, ajuts i emergències",285721.38,21735,8119.52
,,1600,23109,4890101,Conveni Associació Santa Coloma amb el Sahara (Vacances en p,12000,0,0
,,1600,23109,6090000,Altres inv en infraestructures i béns destinats a l'ús gener,0,0,0
,,1600,32600,2279900,Altres treballs realitzats altres empreses i professionals,0,0,0
,,1900,92025,1300100,Hores extraordinàries,0,0,0
,,1900,92025,2200100,"Premsa, revistes, llibres i altres publicacions",0,0,0
,,1900,92025,2200200,Material informàtic no inventariable,0,0,0
,,1900,92025,2279900,Altres treballs realitzats altres empreses i professionals,0,0,4350.01
,,1900,92025,2312001,Locomoció personal no diectiu,0,0,0
,,1900,92025,1200000,Retribucions bàsiques funcionari A1,19100.64,0,3531.24
,,1900,92025,1200600,Trienis,2657.4,0,679.35
,,1900,92025,1210000,Complement destí funcionaris,6806.04,0,1739.82
,,1900,92025,1210100,Complement específic funcionaris,14749.44,0,3770.28
,,1900,92025,1300000,Retribucions bàsiques personal laboral,78134,0,16672.04
,,1900,92025,1300200,Altres retribucions personal laboral,17602.32,0,4499.58
,,1900,92025,1600000,Seguretat social,41034.45,0,7099.47
,,1900,92025,1620900,Altres despeses socials (premis antiguitat),0,0,0
,,1900,92025,2260200,Publicitat i propaganda,21800,0,0
,,1900,92025,2269900,Altres despeses (web municipal),26000,0,1372.14
,,2000,01101,8729000,Resta d'aportacions a altres ens,0,0,0
,,2000,15000,4490300,"Transferències a Gramepark, SA",1635000,0,0
,,2000,15000,7490000,Transferències de capital,3000000,0,726862.61
,,2000,23119,4890600,Transferències a les famílies-Majors 65 anys,25000,0,3500
,,2000,23120,4890600,Transferències a les famílies-Monoparentals,25000,0,0
,,2000,23122,4890600,Transferències a les famílies-Aturats,210000,0,0
,,2000,24100,4490100,"Transferències a Grameimpuls, SA",1700000,123504.8,0
,,2000,24100,4490101,"Transferències a Grameimpuls, SA (cofinançament AMB, etc)",500000,0,0
,,2000,24100,4490102,Transferències a Grameimpuls - Serveis laborals RMI i discap,148000,0,0
,,2000,24100,4490200,Fons Pla d'ocupació,800000,0,0
,,2000,24101,4490100,Transferències a GrameImpuls foment de l'ocupació local,0,6776834.3,40810.66
,,2000,24101,7490002,Transferències a Grameimpuls SA,0,0,0
,,2000,32606,4110200,Transferència Patronat Municipal de la Música,462924.14,0,0
,,2000,32609,2279913,"Convenis (UNED, Torribera)",288000,0,41537.35
,,2000,43300,4790000,Altres subvencions a empreses privades,150003.18,428575.12,0
,,2000,43301,4490100,Transferències a GrameImpuls,0,146760,0
,,2000,92901,5000000,Fons contingència LOEPSF 2/2012,500000,0,0
,,2000,93100,2200100,"Premsa, revistes i llibres",20000,0,0
,,2000,93100,2260300,Anuncis oficials,5000,0,500
,,2000,93100,2269900,Altres despeses,19500,0,0
,,2000,93100,2270600,Estudis i treballs tècnics,2000,0,3424.53
,,2000,93100,4890100,Altres transferències,27000,0,0
,,2000,93100,4890200,Transferència a Xarxa de Municipis per a l'economia social i,1500,0,0
,,2000,93101,1200000,Sous del Grup A1,0,0,0
,,2000,93101,1200600,Triennis,0,0,0
,,2000,93101,1210000,Complement de destí,0,0,0
,,2000,93101,1210100,Complement específic,0,0,0
,,2000,93101,1100000,Retribucions Bàsiques Eventual Gabinets,17159.14,0,4302.96
,,2000,93101,1100100,Retribucions Complementàries Eventual Ga,50185.96,0,10395.36
,,2000,93101,1600000,Seguretat Social,14560.44,0,2637.42
,,2000,94301,4640100,Transferències a AMB PAMMU,1329116.32,0,1329116.32
,,2000,94301,4640200,Transferències a AMB  PMTE,3262823.16,0,781220.34
,,2010,93101,1300100,Hores extraordinàries personal laboral,0,0,126
,,2010,93101,1510000,Gratificacions treballs extraordinaris,0,0,322
,,2010,93101,1200000,Retribució sou base funcionari A1,20400.48,0,3531.24
,,2010,93101,1200300,Retribució sou base funcionari C1,25885.56,0,4585.14
,,2010,93101,1200600,Triennis,6770.4,0,1730.94
,,2010,93101,1210000,Complement Destí  funcionaris,17550.84,0,4486.5
,,2010,93101,1210100,Complement específic funcionaris,39907.08,0,10201.14
,,2010,93101,1300000,Retribucions bàsiques personal laboral,26151.36,126.16,5784.72
,,2010,93101,1600000,Seguretat Social,34734.24,2.24,6162.61
,,2010,93101,1620900,Altres despeses socials (premis antiguitat),0,0,0
,,2100,43200,1300100,Hores extraordinàries,0,0,2187.54
,,2100,43200,2200000,Material oficina,0,0,0
,,2100,43200,2210500,Productes alimentaris,0,0,0
,,2100,43200,2219900,Altres Subministraments,0,0,0
,,2100,43200,2260900,Activitats culturals i esportives,0,0,4356
,,2100,43200,2270100,Seguretat,0,0,0
,,2100,43200,2279900,Altres treballs realitzats altres empreses i professionals,0,0,23589.43
,,2100,43200,2312001,Locomoció personal no diectiu,0,0,0
,,2100,43200,1300000,Retribucions bàsiques personal laboral,27315.98,0,5529.69
,,2100,43200,1300200,Altres retribucions personal laboral,13919.4,0,3558.15
,,2100,43200,1600000,Seguretat social,13179.36,0,2245.36
,,2100,43200,2240000,Assengurances,0,0,0
,,2100,43200,2260200,Publicitat i propaganda,0,0,1936
,,2100,43200,2269900,Altres despeses,85000,726,1997.17
,,2200,43000,1200300,Retribucions sou base funcionari C1,0,0,2292.57
,,2200,43000,1620900,Premi antiguitat,0,0,0
,,2200,43000,1200000,Retribucions sou base A1,19415.73,0,3531.24
,,2200,43000,1200100,.1200100 Retribucions sou base A2,15855.68,0,3053.37
,,2200,43000,1200600,Trienis,5926.95,0,1481.28
,,2200,43000,1210000,Complement destí funcionaris,11723.52,0,3968.1
,,2200,43000,1210100,Complement específic funcionaris,23954.64,0,7855.86
,,2200,43000,1300000,Retribucions bàsiques personal laboral,62253.78,0,13139.97
,,2200,43000,1300200,Altres retribucions personal laboral,19582.92,0,5005.86
,,2200,43000,1600000,Seguretat social,44788.56,0,8829.68
,,2200,43000,1610400,Indemnització al personal lab. per jubilacions anticipades.,0,0,0
,,2200,43000,2279900,Altres treballs realitzats altres empreses i professionals,0,0,0
,,2200,43120,2269900,Altres despeses diverses,0,0,0
,,2200,43130,2270100,Seguretat MVNS,78000,0,0
,,2200,43200,2030000,"Lloguer de maquinària, instal·lacions i utillatge",0,0,0
,,2200,43200,2080000,Arrendament altre immobilitzat material,0,0,0
,,2200,43200,2200000,Material d'oficina,0,0,0
,,2200,43200,2210500,Productes alimentaris,0,0,0
,,2200,43200,2219900,Altres Subministraments,0,0,0
,,2200,43200,2260900,Activitats culturals i esportives,0,0,0
,,2200,43200,2270100,Seguretat,0,0,0
,,2200,43200,2312001,Locomoció personal no diectiu,0,0,0
,,2200,43200,2269900,Altres despeses,77000,0,0
,,2200,43200,2279900,Altres treballs realitzats altres empreses i professionals,0,0,0
,,2200,43300,2260200,Publicitat i propaganda,0,600,0
,,2200,43300,2260300,Anuncis oficials,2000,0,150
,,2200,43300,2269900,Altres despeses,30000,0,217.8
,,2200,43300,2279900,Altres treballs realitzats per empreses i professionals,100000,5614.06,0
,,2200,43300,2279901,Oficina tècnica moneda local,246878.91,0,0
,,2200,43300,4890100,Altres tranferències,40000,0,0
,,2200,43300,4890200,Altres transferències,70143.58,0,0
,,2200,43300,7700000,Subvencions a empreses privades,0,76130.68,0
,,2300,93202,1620900,Premi antiguitat,0,0,0
,,2300,93202,2200000,Material d'oficina,0,3357.5,1600.15
,,2300,93202,2200100,"Premsa, resvistes i llibres",0,0,0
,,2300,93202,2219900,Altres Subministraments,0,0,0
,,2300,93202,2220100,Comunicacions postals,0,0,0
,,2300,93202,2269900,Altres despeses,4000,0,1442.99
,,2300,93202,2312001,Locomoció personal no diectiu,0,0,0
,,2300,93202,1200000,Retribució sou base funcionari A1,47242.23,0,3531.24
,,2300,93202,1200100,Retribució sou base funcionari A2,16750.14,0,3053.37
,,2300,93202,1200300,Retribució sou base funcionari C1,126148.88,0,24874.38
,,2300,93202,1200400,Retribució sou base funcionari C2,22638.96,0,3816.06
,,2300,93202,1200600,Triennis,27477.1,0,6774.17
,,2300,93202,1210000,Complement Destí  funcionaris,66434.76,0,17808.18
,,2300,93202,1210100,Complement específic funcionaris,142835.52,0,37984.53
,,2300,93202,1210300,Altres complements funcionaris,4660.68,0,1191.36
,,2300,93202,1300000,Retribucions bàsiques personal laboral,2805.36,0,5713.56
,,2300,93202,1300200,Altres retribucions personal laboral,10609.32,0,2712
,,2300,93202,1510000,Gratificacions treballs extraordinaris,0,0,4263.04
,,2300,93202,1600000,Seguretat Social,119753.32,0,21915.67
,,2300,93202,2260300,Anuncis oficials,1000,0,484
,,2300,93202,2269901,Centre gestió Cadastre,48000,0,0
,,2400,23108,1510000,Gratificacions treballs extraordinaris,0,0,218.96
,,2400,23108,1200000,Retribució sou base funcionari A1,35814.64,0,6532.8
,,2400,23108,1200100,Retribució sou base funcionari A2,508352.84,0,98312.59
,,2400,23108,1200300,Retribució sou base funcionari C1,96208.88,0,18340.56
,,2400,23108,1200600,Triennis,34703.36,0,6416.49
,,2400,23108,1210000,Complement Destí  funcionaris,200454.96,0,44750.54
,,2400,23108,1210100,Complement específic funcionaris,366894,0,81742.88
,,2400,23108,1600000,Seguretat Social,386092.95,0,57770.44
,,2400,91201,2330001,Altres indemnitzacions per assistència a orgàns col·legiats,27000,0,5117.79
,,2400,92013,2200000,Material d'oficina,0,0,0
,,2400,92013,2200100,"Premsa, revistes i llibres",0,0,0
,,2400,92013,2210500,Productes alimentaris,0,0,0
,,2400,92013,2210600,Productes farmacèutics i sanitaris,0,0,0
,,2400,92013,2219900,Altres Subministraments,0,0,0
,,2400,92013,2220100,Comunicacions postals,0,0,0
,,2400,92013,2312001,Locomoció personal no diectiu,0,0,0
,,2400,92013,1200000,"visió increment 2,25% funcionaris",387693.22,-387693.22,0
,,2400,92013,1300000,"Previsió increment 2,25% laborals",127058.41,-127058.41,0
,,2400,92013,1500000,Complement Productivitat,1305088.01,177.4,1208855.92
,,2400,92013,1510000,Treballs extraordinaris,53421.84,0,0
,,2400,92013,1600000,Seguretat social treballs extraordinaris,432750.16,0,0
,,2400,92013,1620000,Formació,63200,-10110,1583.76
,,2400,92013,1620400,Retribució sou base funcionari A2,46000,0,18700
,,2400,92013,1620900,Premis antiguitat,35000,0,338.72
,,2400,92013,2260300,Anuncis oficials,4000,0,2948.4
,,2400,92013,2260600,"Reunions, conferències i cursos",0,10110,2095
,,2400,92013,2260700,Oposicions i proves selectives,0,598.95,7106.91
,,2400,92013,2269900,Altres despeses,2000,726,0
,,2400,92013,2270600,Estudis i treballs tècnics,85000,0,0
,,2400,92013,2301000,Dietes serveis generals,12000,0,4074.32
,,2400,92013,2302000,Xecs menjador,40000,0,9591.96
,,2400,92013,2302001,Dietes jornada partida,30000,0,5310.4
,,2400,92013,2311000,Locomoció serveis generals,9000,0,42.48
,,2400,92013,2330000,Altres indemnitzacions,3000,0,279.3
,,2400,92013,4890100,Altres transferències,3500,0,0
,,2400,92013,8310000,Préstecs al personal llarg termini,180000,0,44914.3
,,2401,13200,1200300,ribucions sou base funcionaris C1,14812.58,0,0
,,2401,13200,1200600,Trienis,774.36,0,0
,,2401,13200,1210000,Complement destí funcionaris,4078.68,0,0
,,2401,13200,1210100,Complement específic funcionaris,15614.88,123400.18,0
,,2401,13200,1600000,Seguretat Social,9537.48,0,0
,,2401,15001,1200300,tribucions sou base funcionari C1,24046.32,0,0
,,2401,15001,1200600,Triennis,1406.34,0,0
,,2401,15001,1210000,Complement desti funcionaris,7598.64,0,0
,,2401,15001,1210100,Complement específic funcionaris,13555.44,0,0
,,2401,15001,1600000,Seguretat Social,14077.68,0,0
,,2401,17000,1300000,Retribucions bàsiques personal laboral,74905.66,0,0
,,2401,17000,1300200,Altres retribucions personal laboral,32610.24,0,0
,,2401,17000,1600000,Seguretat Social,28207.92,0,0
,,2401,23100,1300000,Retribucions bàsiques personal laboral,32994.7,0,0
,,2401,23100,1300200,Altres retribucions personal laboral,1627.32,0,0
,,2401,23100,1600000,Seguretat social,10823.4,0,0
,,2401,23105,1300000,Retribucions bàsiques personal laboral,60403.52,0,0
,,2401,23105,1300200,Altres retribucions personal laboral,3254.64,0,0
,,2401,23105,1600000,Seguretat Social,22309.44,0,0
,,2401,23113,1300000,Retribucions bàsiques personal laboral,29484.52,0,0
,,2401,23113,1300200,Altres retribucions personal laboral,9060.12,0,0
,,2401,23113,1600000,Seguretat social,13138.56,0,0
,,2401,32000,1300000,Retribucions bàsiques personal laboral,51632.74,0,0
,,2401,32000,1300200,Altres retribucions personal laboral,2299.8,0,0
,,2401,32000,1600000,Seguretat Social,18255.24,0,0
,,2401,33210,1300000,Retribucions bàsiques personal laboral,20807.32,0,0
,,2401,33210,1300200,ALtres retribucions personal laboral,1057.32,0,0
,,2401,33210,1600000,Seguretat Social,7265.64,0,0
,,2401,91203,1300000,Retribucions bàsiques Personal laboral,21080.08,0,0
,,2401,91203,1600000,Seguretat Social,6882.6,0,0
,,2401,92000,1300000,Retribucions bàsiques personal laboral,23353.52,0,0
,,2401,92000,1300200,Altres retribucions personal laboral,1267.68,0,0
,,2401,92000,1600000,Seguretat social,7991.16,0,0
,,2401,92003,1300000,Retribucions bàsiques personal laboral,22075.58,0,0
,,2401,92003,1300200,Altres retribucions personal laboral,2170.32,0,0
,,2401,92003,1600000,Seguretat Social,12881.4,0,0
,,2401,92013,1200000,Retribució sou base funcionari A1,199114.16,0,0
,,2401,92013,1200100,Retribució sou base funcionari A2,193738.5,0,0
,,2401,92013,1200300,Retribució sou base funcionari C1,379928.36,0,0
,,2401,92013,1200400,Retribució sou base funcionari C2,42522.98,0,0
,,2401,92013,1210000,Complement Destí  funcionaris,265070.28,0,0
,,2401,92013,1210100,Complement específic funcionaris,617194.08,-367710.25,0
,,2401,92013,1210300,Altres complements funcionaris,6972.6,0,0
,,2401,92013,1300000,Retribucions bàsiques personal laboral,274039.73,0,0
,,2401,92013,1300200,0 Altres complements personal laboral,10447.77,0,0
,,2401,92013,1600000,Seguretat Social,611350.54,0,0
,,2401,92020,1200000,Retribucions sou base funcionari A1,18367.88,0,0
,,2401,92020,1200600,Triennis,1979.64,0,0
,,2401,92020,1210000,Complement destí funcionaris,6350.52,0,0
,,2401,92020,1210100,Complement específic funcionafis,11136.84,0,0
,,2401,92020,1600000,Seguretat social,11213.4,0,0
,,2401,92023,1200000,Retribucions sou base funcionaris A1,19552.74,0,0
,,2401,92023,1200100,ribucions sou base funcionaris A2,16603.56,0,0
,,2401,92023,1200600,Trienis,1692.48,0,0
,,2401,92023,1210000,Complement destí funcionaris,14066.4,0,0
,,2401,92023,1210100,Complement específic funcionaris,29491.08,0,0
,,2401,92023,1300000,Retribucions bàsiques personal laboral,43680.28,0,0
,,2401,92023,1600000,Seguretat Social,40503.6,0,0
,,2401,93101,1200000,Retribucions sou base funcionaris A1,20291.16,0,0
,,2401,93101,1210000,Complement destí funcionaris,7715.88,0,0
,,2401,93101,1210100,Complement específic funcionaris,22622.52,0,0
,,2401,93101,1600000,Seguretat Social,11502.24,0,0
,,2410,92013,1200300,Retribucions sou base funcionari C1,0,0,2292.57
,,2410,92013,1510000,Treballs extraordinaris funcionaris,0,0,953.4
,,2410,92013,1200000,Retribució sou base funcionari A1,20813.38,0,3062.1
,,2410,92013,1200600,Triennis,4606.08,0,1021.11
,,2410,92013,1210000,Complement Destí  funcionaris,7715.88,0,2681.55
,,2410,92013,1210100,Complement específic funcionaris,22622.52,0,6747.09
,,2410,92013,1300000,Retribucions bàsiques personal laboral,26482.86,0,5727.66
,,2410,92013,1300100,Hores extraordinàries,0,0,644
,,2410,92013,1300200,Altres retribucions personal laboral,3549.24,0,907.26
,,2410,92013,1310000,Retribucions personal Laboral eventual,10298.32,0,2324.19
,,2410,92013,1600000,Seguretat Social,26093.04,0,5886.25
,,2410,92013,1620900,Altres despeses socials (premis antiguitat),0,0,0
,,2420,92014,1200100,Retribució sou base funcionari A2,18874,0,3053.37
,,2420,92014,1200300,Retribució sou base funcionari C1,63472.82,0,15205.44
,,2420,92014,1200600,Triennis,12069.21,0,2933.37
,,2420,92014,1210000,Complement Destí  funcionaris,28390.08,0,7969.5
,,2420,92014,1210100,Complement específic funcionaris,66932.04,0,18379.83
,,2420,92014,1510000,Gratificacions treballs extraordinaris,0,0,497.56
,,2420,92014,1600000,Seguretat Social,47805.32,0,9317.75
,,2430,92013,1620000,Formació prevenció riscos laborals,40000,0,0
,,2430,92013,2260600,"Reunions,conferencies i cursos",0,0,0
,,2430,92017,1300100,Hores extraordinàries personal laboral,0,0,153
,,2430,92017,1200000,Retribució sou base funcionari A1,17802,0,3531.24
,,2430,92017,1200300,Retribucions sou base funcionari C1,0,0,0
,,2430,92017,1200600,Triennis,0,0,0
,,2430,92017,1210000,Complement Destí  funcionaris,6350.52,0,1623.36
,,2430,92017,1210100,Complement específic funcionaris,9052.92,0,2314.14
,,2430,92017,1300000,Retribucions bàsiques personal laboral,39422.54,0,8205.42
,,2430,92017,1300200,Altres retribucions personal laboral,16305.12,0,4168.02
,,2430,92017,1310000,Retribucions personal Laboral eventual,11215.62,0,2500.95
,,2430,92017,1430000,Despeses per substitució,66410.88,0,14937.48
,,2430,92017,1600000,Seguretat Social,49490.4,0,8624.24
,,2430,92017,1620900,Altres despeses socials,0,0,777.28
,,2430,92017,2130100,Manteniment instal·lacions,0,0,0
,,2430,92017,2269900,Altres despeses,1000,0,0
,,2430,92017,2279909,Contractes desenvolupament serveis,100000,0,5771.7
,,2430,92017,6230100,"Maquinària, instal.lacions tècniques i utillatge",0,0,0
,,2440,92015,1200100,Retribucions sou base funcionari A2,0,0,0
,,2440,92015,1510000,Gratificacions treballs extraordinaris,0,0,74.48
,,2440,92015,1620900,Premi antiguitat,0,0,690.31
