#,Àlies,Org.,Eco.,Descripció,Previsions inicialss,Total Modificacions,Previsions totals,Drets reconeguts nets
,,6130,46115,Diputació BCN: Finançament de Llars d'Infants,350000,,,
,,7000,39901,Despeses publicitat: anuncis licitació-direcció urbanisme,1000,,,
,,7000,45080,Generalitat. Foment de la prestació supramunicipal de servei,25000,,,
,,7120,39190,Altres multes i sancions-medi ambient i higiene,40000,,,
,,7120,46108,Diputació BCN. Conveni Salut Pública,14000,,,
,,7150,39905,Energia fotovoltaica - plantes fotovoltàiques,45000,,,
,,7300,76400,Àrea Metropolitana de Barcelona.Programa PAMMU,1329116.32,,,
,,7400,39610,Quotes d'urbanització,0,,,
,,7400,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,,,
,,7610,34901,Escombraries industrials,1236240,,,
,,7610,36001,"Venda de paper i cartró, envasos i vidre",342200,,,
,,7610,47010,Conveni col·laboració Funerària Santa Coloma SA,20000,,,
,,7660,32902,Mercats,473590,,,
,,7660,55002,Concessions administratives- mercats municipals,8000,,,
,,7660,55006,Lloguers parades mercats,9000,,,
,,7670,55001,Concessió administrativa cementiri municipal,35700,,,
,,7700,32502,Llicències d'obertura,255000,,,
,,7700,32503,Llicències d'obres,164832,,,
,,7700,33103,Plaques de guals,515.1,,,
,,7700,39190,Altres multes i sancions-disciplina urbanística,25000,,,
,,7700,39904,Desperfectes i obres exec.subs.-disciplina urbanística,39200,,,
,,7700,39907,Instal·lacions de radiocomunicació,32000,,,
,,7810,39904,Desperfectes i obres exec. subs-guals,12000,,,
,,7810,46125,Diputació BCN. Meses concertació 16-19 Manteniment via públi,700000,,,
,,7850,46125,Diputació BCN. Meses concertació 16-19 Manteniment parcs,400000,,,
,,7850,76125,Diputació BCN Meses concertació 16-19 Jocs infantils,250000,,,
,,7900,46125,Diputació BCN. Meses concertació 16-19 Mant. edificis,500000,,,
,,7900,76125,Diputació BCN Meses concertació 16-19 Molí Ribé Poblat Ibèri,500000,,,
,,8110,39904,Desperfectes i obres exec. subs-serveis jurídics,18000,,,
,,8110,39924,Indemnitzacions patrimonials-serveis jurídics,10000,,,
,,8400,39910,Gestió tribut de la mobilitat,85000,,,
,,8400,51401,Interessos d'operacions financeres amb Gramepark SA,100000,,,
,,8400,51402,Interessos d'operacions financeres amb Grameimpuls SA,100000,,,
,,8400,52000,Rendiments bancaris,10000,,,
,,8410,39200,Recàrrec per declaració extemporànea sense requerimi.previ,35000,,,
,,8410,39211,Recàrrec de constrenyiment,700000,,,
,,8410,39300,Interessos de demora,250000,,,
,,8410,39917,Interessos recàrrec extemporani,5000,,,
#,,,,,97706612.35,,,
