#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Drets reconeguts nets
,,2000,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0,500000,0
,,2000,79100,Subvencions de l'exterior. Fons FEDER EDUSI,0,5620884.9,0
,,2200,39190,"Altres multes i sancions-Comerç,Consum i Fires",6000,0,1001
,,2200,46129,Diputació Barcelona. Activitats en matèria de consum,1400,0,0
,,2200,46199,Diputació Barcelona. Subvencions,0,54866.62,0
,,2200,46400,Subvencions Àrea Metropolitana de Barcelona,0,25000,0
,,2400,39903,Recuperació Seguretat Social,0,35157.62,67161.57
,,2400,51801,Interessos bestretes del personal,5000,0,1630.54
,,2400,83000,Reintegrament crèdits al personal,180000,0,30530.79
,,2600,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,2600,76117,Diputació de Barcelona. Pla implantació Admn. Electrònica,0,0,-14017.64
,,2600,91303,Préstecs entitat financera Caixa Est. Catalunya,150000,0,0
,,2700,45060,Generalitat de Catalunya. Processos Electorals,0,50193.85,70277
,,2900,39902,"Gestió recapt.lloguer pisos Pons i Pons, Sanatori i Sardana",2000,0,576.99
,,2900,39915,Execució de fiances,0,0,0
,,2900,51803,Interessos préstecs pisos  Pons i Pons-Sardana,0,0,0
,,2900,54100,Lloguers,100000,0,36505.45
,,2900,54102,Lloguer pisos Av. Sanatori,29000,0,7372.45
,,2900,54103,Lloguer pisos cr. Pons i Pons - Sardana,9200,0,3591.04
,,2900,55002,Concessions administratives,0,0,0
,,2900,83101,Reintegrament de préstecs de fora del sector públic a/lt,0,0,3438.72
,,3100,32600,Arrossegament de vehicles,750000,0,152753.69
,,3100,32907,Circulacions especials,0,0,0
,,3100,36000,Venda d'efectes inútils,20000,0,14350
,,3100,39120,Multes de trànsit,2712000,0,1347450
,,3100,39190,Altres multes i sancions-seguretat ciutadana,6000,0,0
,,5000,39901,Despeses publicitat: anuncis licitació-direcció serv.persone,0,0,0
,,5022,45060,Generalitat. Fitxa 9. transport adaptat,66762.55,0,63424.42
,,5022,46400,AMB- Transport adaptat,257000,0,0
,,5023,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,5024,34100,Ingressos serveis de teleassistència,90000,0,31103.05
,,5024,45002,Generalitat-Fitxa 1 SAD social i dependència,1180786.15,0,122583.6
,,5024,46132,Diputació BCN. Servei atenció domiciliària,320000,0,0
,,5024,46401,AMB - Programa PAMMU,1329116.32,0,0
,,5030,46108,Diputació BCN. Conveni Salut Pública,15000,0,0
,,5030,76126,DIBA. Salut Pública,0,0,0
,,5031,34101,Serveis assistencials,0,0,0
,,5032,46129,Diputació Barcelona. Activitats en matèria de consum,0,0,0
,,5033,32501,Expedició documents,0,0,0
,,5033,32910,Autorització sanitària municipal,0,0,0
,,5033,39190,Altres multes i sancions-programa protecció salut,10000,0,2700
,,5033,46108,Diputació BCN. Conveni Salut Pública,0,0,0
,,5112,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,2300
,,5112,46101,Diputació BCN. Polítiques d'igualtat,15000,0,0
,,5112,46106,Diputació BCN. Polítiques d'igualtat,9000,0,0
,,5140,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,0
,,5200,34400,Utilització equipmanets culturals,1020,0,0
,,5209,45060,Generalitat. Fitxa 21. Programa drogodependències,98977.4,0,94028.53
,,5209,46145,Diputació BCN.Prev.Dorgodependències.Prev.medi obert,20000,0,0
,,5210,33902,Festa major d'estiu ocupació via pública,25000,0,0
,,5210,46199,Diputació Barcelona. Subvencions,0,0,0
,,5410,39915,Execució de fiances,0,0,0
,,5411,34403,Utilització Teatre Josep Maria Segarra,47500,0,9713.93
,,5411,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,5411,46107,Diputació BCN. Festivals artístics i programació cultural,23500,0,17700
,,5411,46186,"DIPUTACIÓ DE BARCELONA. TEATRE, MÚSICA I DANSA",0,0,0
,,5412,34401,Utilització auditori Can Roig i Torres,5254.02,0,1.42
,,5414,34414,Ingressos museu Torre Balldovina,100,0,0
,,5414,45032,GENERALITAT DE CATALUNYA. MEMÒRIA HISTÒRICA,0,0,0
,,5414,45080,"Generalitat.Aportació despese s""""El Puig Castellar""""",0,0,0
,,5414,46144,Diputació BCN. Difusió Patrimoni. Museu,5500,0,0
,,5414,46199,Diputació Barcelona. Subvencions,0,0,0
,,5415,45049,GENERALITAT DE CATALUNYA. LLIBRES BIBLIOTEQUES,0,0,20800
,,5417,45060,Generalitat Fitxa 34 Activitats i projectes adreçats a joves,12900,0,13395
,,5417,46111,Diputació BCN. Punts informació juvenil,3500,0,0
,,5417,46112,Diputació BCN.Àrea cultura.Conveni juventut,12000,0,0
,,5418,46500,Consell comarcal del Barcelonès,0,0,4174.46
,,5500,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,76133.95
,,5500,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,0
,,5500,46146,Diputació BCN. Infància i família. Intervenció medi obert,22000,0,0
,,5500,46147,Diputació BCN.Àrea Benestar Social.Conveni atenció primària,100000,0,0
,,5500,46199,Diputació Barcelona. Subvencions,0,0,0
,,5500,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,0
,,5501,45002,Generalitat. Fitxa 1. Equips bàsics,910354.9,0,8191.49
,,5502,45002,Generalitat.Fitxa 2. Intervenció Socioeducativa,365631,0,0
,,5503,45002,Generalitat.Fitxa 1. Ajuts socials,80141,0,0
,,5506,45002,Generalitat.Fitxa 6. Sistemes de resposta violència gènere,9600,0,9120
,,5509,45002,Generalitat. Fitxa 19. EAIA,385382,0,5795.1
,,5514,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,0
,,5514,45050,Generalitat. Fitxa 8. Plans d'inclusió social,80697.52,0,76662.64
,,5600,45002,Generalitat-Fitxa 7 Acollida i integració,87435,0,95698.25
,,5600,46139,Diputació BCN.Polítiques d'igualtat i ciutadania,18000,0,0
,,5600,46180,Diputació BCN.Polítiques de migració i ciutadania,71250,0,0
,,5700,45002,Tran Ctes en compliment conv serv soc i polit d'igual,0,0,2660
,,5800,55002,Concessions adminitratives,0,0,704.18
,,5900,34301,Serveis esportius,248000,0,14614.55
,,5900,34303,Preus públics gimnàstica gent gran,11698.44,0,16.8
,,5900,46100,Subvencions Diputació de Barcelona Esports,12300,0,0
,,5900,55001,"Cànon complex Can Zam, Torribera i Raval",125000,0,0
,,6120,45080,Generalitat. Pla educatiu entorn,18000,0,2100
,,6120,46100,Subvencions Diputació de Barcelona,0,0,0
,,6120,46114,Diputació de Barcelona Activitats educatives complementàries,40000,0,0
,,6120,46155,DIBA. Coneguem els nostres parcs,0,2342.4,0
,,6130,34201,SERVEIS EDUCATIUS. ESCOLES BRESSOL,0,0,0
,,6130,46115,Diputació BCN: Finançament de Llars d'Infants,350000,0,0
,,6130,46133,Diputació de Barcelona. Suport finançament escoles bressol,0,0,0
,,7000,39901,Despeses de publicitat: Anuncis licitacions,0,0,0
,,7000,45080,Generalitat. Foment de la prestació supramunicipal de servei,25000,0,0
,,7000,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,27837.76,0
,,7110,46108,Subvencions Diputació de Barcelona. Conveni Salut Pública,0,0,0
,,7120,39190,Altres multes i sancions-medi ambient i higiene,12000,0,13028
,,7120,46108,Diputació BCN. Conveni Salut Pública,14000,0,0
,,7130,46199,Diputació Barcelona. Subvencions,0,0,0
,,7150,39905,Energia fotovoltaica - plantes fotovoltàiques,45000,0,12094.21
,,7150,46400,Subvencions Àrea Metropolitana de Barcelona,0,0,0
,,7200,46100,Subvencions Diputació de Barcelona,0,0,0
,,7300,39190,Altres multes i sancions,0,0,0
,,7300,39610,Quotes d'urbanització,0,0,0
,,7300,39701,Aprofitament urbanístic,0,0,0
,,7300,45102,AGÈNCIA DE L'HABITATGE DE CATALUNYA,0,0,0
,,7300,46199,Diputació Barcelona. Subvencions,0,0,0
,,7300,76400,Àrea Metropolitana de Barcelona.Programa PAMMU,0,207445.55,0
,,7300,91303,Préstecs entitat financera Caixa Est. Catalunya,1400000,0,0
,,7400,39610,Quotes urbanització,0,291407.83,38075.71
,,7400,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,7400,46400,Subvencions Àrea Metropolitana de Barcelona,0,1373.24,0
,,7400,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,0
,,7400,76400,Subvencions Àrea Metropolitana de Barcelona.,0,421241.32,0
,,7400,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,7400,91303,Préstecs entitat financera Caixa Est. Catalunya,0,0,0
,,7500,55004,Concessions administratives,0,0,442983.17
,,7500,75080,Altres transferències de capital de l'Admó. Gral. de la CA,0,0,0
,,7500,76100,Diputació de Barcelona. Subvencions de capital,0,2501640,0
,,7500,76121,DIBA. Tancament Molí d'En Ribé,0,289000,0
,,7500,76400,Subvencions Àrea Metropolitana de Barcelona.,0,5341205.52,0
,,7500,79100,Transf.de l'Exterior. Fons Feder,0,0,0
,,7500,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,4027703.07,0
,,7500,91303,Préstecs entitat financera Caixa Est. Catalunya,374308.58,0,0
,,7600,55002,Concessions administratives,0,0,9150.67
,,7610,34901,Escombraries industrials,1200000,0,50697.92
,,7610,36001,"Venda de paper i cartró, envasos i vidre",350000,0,123197.57
,,7610,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,7610,47010,Conveni col·laboració Funerària Santa Coloma SA,20000,0,0
,,7660,32902,Mercats,515000,0,520927.57
,,7660,46199,Diputació Barcelona. Subvencions,0,0,0
,,7660,55002,Concessions administratives- mercats municipals,8000,0,0
,,7660,55006,Lloguers parades mercats,9000,0,1332.07
,,7670,55001,Concessió administrativa cementiri municipal,35700,0,0
,,7700,32502,Llicències d'obertura,125000,0,93140.62
,,7700,32503,Llicències d'obres,110000,0,47603.74
,,7700,33103,Plaques de guals,0,0,184
,,7700,39190,Altres multes i sancions-disciplina urbanística,25000,0,-1379.79
,,7700,39904,Desperfectes i obres exec.subs.-disciplina urbanística,39200,0,606.72
,,7700,39907,Instal·lacions de radiocomunicació,50000,0,0
,,7810,39904,Desperfectes i obres exec. subs-guals,12000,0,2797.54
,,7810,46125,Diputació BCN. Meses concertació 16-19 Manteniment via públi,250000,0,0
,,7810,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,0,0
,,7830,76149,Diputació de Barcelona Pla Xarxa de Governs Locals,0,53496.65,0
,,7850,46125,Diputació BCN. Meses concertació 16-19 Manteniment parcs,250000,0,0
,,7850,46149,Diputació Barcelona - Xarxa de Governs Locals 2012-15,0,100000,0
,,7850,76125,Diputació BCN Meses concertació 16-19 Jocs infantils,250000,195575.41,0
,,7851,39906,Conexió clavegueram,0,0,411.35
,,7900,45080,Altres subv.corrents de la Adm.General Generalitat Catalunya,0,0,64989.6
,,7900,46125,Diputació BCN. Meses concertació 16-19 Mant. edificis,350000,0,0
,,7900,76125,Diputació BCN Meses concertació 16-19 Molí Ribé Poblat Ibèri,214717.5,440000,0
,,7900,91301,Préstecs rebuts mig i llarg termini fora sector públic,0,0,0
,,7910,39908,Altres ingressos,0,0,0
,,8110,39904,Desperfectes i obres exec. subs-serveis jurídics,18000,0,0
,,8110,39912,Costos processals,0,0,300
,,8110,39924,Indemnitzacions patrimonials-serveis jurídics,10000,0,2235.77
,,8400,39910,Gestió tribut de la mobilitat,85000,0,92843.45
,,8400,46140,Diputació de Barcelona. PROGRAMA DE CREDIT LOCAL,0,0,0
,,8400,51401,Interessos d'operacions financeres amb Gramepark SA,100000,0,0
,,8400,51402,Interessos d'operacions financeres amb Grameimpuls SA,100000,0,0
,,8400,52000,Rendiments bancaris,10000,0,0
,,8400,52001,Rendiments bancaris moneda local,0,0,0.49
,,8410,39200,Recàrrec per declaració extemporànea sense requerimi.previ,35000,0,13674
,,8410,39211,Recàrrec de constrenyiment,700000,0,13142.85
,,8410,39300,Interessos de demora,250000,0,19240.19
,,8410,39900,Costes del servei de recaptació,0,0,35.81
,,8410,39917,Interessos recàrrec extemporani,5000,0,2729.94
#TOT.,,,,,103223886.2,33934370.66,25687711.62
